countries,2022-2023(Apr-Dec),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
COLOMBIA,0.08,0.15,0.07,0.1,0.11,0.14,0.72,0.26,0.45,0.82,0.31,0.01,0.26,0.06,0.04,,0.0,,0.12,0.0,0.02,,,0.03,0.0,
COMOROS,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,0.01,,,,,,,,,
CONGO P REP,0.01,0.33,0.43,0.16,0.03,0.08,0.01,0.07,0.13,0.05,0.01,0.17,0.6,0.33,0.47,0.1,0.15,0.15,0.17,0.14,0.13,0.15,0.03,0.0,0.04,0.03
COSTA RICA,0.0,0.01,0.01,0.02,0.03,0.07,0.02,0.05,0.01,0.04,0.04,0.03,0.03,0.07,0.03,0.0,,0.01,,,0.0,,0.01,,,
CROATIA,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,
CYPRUS,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.0,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.0,0.0,0.0,0.0,,0.01,
CZECH REPUBLIC,0.04,0.09,0.05,0.07,0.09,0.07,0.06,0.16,0.07,0.07,0.04,0.03,0.03,0.01,0.01,0.08,0.04,0.0,0.0,,0.03,0.0,0.01,0.01,0.01,0.0
DENMARK,0.25,0.24,0.02,0.01,0.0,0.22,0.2,0.39,0.32,0.58,0.04,0.06,0.01,0.0,0.05,0.0,0.0,0.01,0.05,0.01,0.04,0.25,0.08,0.07,0.06,
DJIBOUTI,0.07,0.25,0.07,0.06,0.05,0.03,0.11,0.14,0.08,0.03,0.02,0.02,0.1,0.05,0.12,0.15,0.14,0.16,0.2,0.34,0.22,0.31,0.01,0.09,,0.01
DOMINIC REP,0.01,0.01,0.02,0.01,0.0,0.01,0.0,0.01,0.02,0.19,,,0.0,,,0.0,0.01,,0.04,0.01,0.03,0.03,,0.02,,
DOMINICA,,0.0,0.01,0.0,,,0.01,,,0.0,,,,,,,,,,,,,,,,
ECUADOR,0.01,0.03,0.03,,0.0,0.0,,0.0,,,,,0.07,0.03,0.01,,0.01,,,0.0,0.0,,0.01,,,
EGYPT A RP,0.05,0.2,0.3,0.12,0.02,0.09,0.11,0.14,0.51,0.54,0.86,0.83,1.11,0.52,0.06,0.1,0.01,0.05,0.06,0.04,0.03,0.58,0.41,0.1,0.15,0.1
ESTONIA,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.06,0.0,0.0,,,,0.0,0.01,0.02,0.01,,,,,,,,,
ETHIOPIA,0.11,0.16,0.09,0.31,0.12,0.62,0.67,0.21,0.53,0.34,0.02,0.43,0.2,0.2,0.54,0.17,0.1,0.1,0.08,0.44,0.13,0.45,0.14,0.02,0.07,0.02
EQUTL GUINEA,0.0,0.0,0.0,0.0,0.0,0.0,,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
CAMEROON,0.67,0.51,0.02,0.02,0.02,,0.09,0.01,0.0,0.03,0.0,0.15,0.04,0.09,0.01,0.01,,0.01,,0.01,0.0,,,,,
MAURITIUS,0.79,0.97,0.79,0.76,0.68,0.63,0.56,0.61,0.74,0.74,0.66,0.86,0.57,0.54,0.49,0.54,0.32,0.38,0.42,0.45,0.27,0.28,0.33,0.27,0.15,0.27
CAMBODIA,0.43,0.39,0.33,0.5,0.4,0.36,0.35,0.27,0.26,0.23,0.22,0.21,0.14,0.07,0.25,0.07,0.02,0.02,0.05,0.02,0.01,0.0,,0.0,0.0,0.0
BURUNDI,0.01,0.0,0.0,,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,,0.0,0.0,0.01,,,,0.0,,0.0,0.0,,
ALBANIA,,0.0,0.01,0.0,,0.0,0.0,0.02,,0.0,,,,,,,,,,,,,,,,
ALGERIA,,0.04,0.51,0.66,0.44,0.23,0.14,0.43,0.47,0.66,0.38,0.16,0.35,0.3,0.46,0.14,0.14,0.18,0.1,,0.02,0.74,0.28,0.14,,
ANGOLA,1.25,0.97,0.37,0.8,1.37,1.9,0.77,0.92,2.14,2.41,1.04,1.48,1.07,0.53,0.59,0.64,0.3,0.29,0.1,0.09,0.03,,,,,
